text|s0|s1|s10|s11|s12|s13|s15|s16|s17|s18|s19|s2|s20|s21|s22|s23|s24|s25|s26|s27|s28|s29|s3|s30|s31|s32|s33|s34|s35|s36|s37|s38|s39|s4|s40|s41|s42|s43|s44|s45|s46|s47|s48|s49|s5|s50|s6|s7|s8|s9
"Kontrollib töö- ja mõõteriistade ning isikukaitsevahendite korrasolekut.1) Valib tööülesandele vastava juhtprogrammi, mõistes juhtprogrammi koostamisel kasutatud masinkoodi struktuuri.
2) Hindab juhtprogrammis kasutatud paigutusest (nesting) lähtuvat detailide ja laserpea kokkupõrke ohtu.
3) Paigaldab materjalilehe seadmesse manuaalselt, abiseadmete või seadmega ühendatud automaatse laadimisseadme abil materjali kahjustamata.
4) Paigaldab juhtprogrammis ettenähtud läätse ja düüsi, kontrollib ja vajadusel korrigeerib laserkiire tsentreeringut, mõistes laseri lõikepea seadistuse mõju lõiketulemustele.
5) Kalibreerib z-telje, käivitades vastava kalibreerimisprogrammi, mõistes jälgimisanduri tööpõhimõtet.1) Valib tööülesandele vastava juhtprogrammi, mõistes juhtprogrammi koostamisel kasutatud masinkoodi struktuuri.
2) Hindab juhtprogrammis kasutatud paigutusest (nesting) lähtuvat detailide ja laserpea kokkupõrke ohtu.
3) Paigaldab materjalilehe seadmesse manuaalselt, abiseadmete või seadmega ühendatud automaatse laadimisseadme abil materjali kahjustamata.
4) Paigaldab juhtprogrammis ettenähtud läätse ja düüsi, kontrollib ja vajadusel korrigeerib laserkiire tsentreeringut, mõistes laseri lõikepea seadistuse mõju lõiketulemustele.
5) Kalibreerib z-telje, käivitades vastava kalibreerimisprogrammi, mõistes jälgimisanduri tööpõhimõtet.
1) Koostab juhtpaneelil tööülesandele vastava juhtprogrammi,  kasutades painutusteooria alusteadmiseid (painutusmeetodid, painutusjärjekord, tööriistade määramise põhimõtted vastavalt materjalidele), peab kinni tööriistade tonnaaži piirangutest. 
2) Tuvastab (teeb kindlaks) korrektse pinnalaotuse mõõtmed, mõistes painde mahaarvamisväärtuste (Bend deduction) mõju detaili mõõtmetele.
3) Paigaldab ja tsentreerib juhtprogrammis määratud painutustööriistad, mõistes painutustööriistade ja nende kinnitussüsteemide ohutu käsitlemise aluseid.
4) Seadistab seadme valguskaitse, mõistes valguskaitse kasutamise olulisust ja toimimise põhimõtet."|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
mõõtmine|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"Meeskonnaliikmed arendavad oma teadmisi järgmistes ärivaldkondades:
Turundus- ja müügijuhtimine
Ostu- ja logistika juhtimine
Tootmise- ja kvaliteedijuhtimine
Finantsjuhtimine
Personalijuhtimine"|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0
Samas ei kao IKT-oskuste kõrval vajadus n-ö traditsiooniliste oskuste järele, nagu jooniste lugemise ja montaažioskus.|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1
Kasutab oma igapäevatöös arvutit infotöötluse ja kommunikatsiooni osas algtasemel kasutaja tasemel, lisa 1 – Digipädevuste enesehindamise skaala.  |1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
“Töövõtted ja ohutustehnika olid kõigil võistlejatel selged ja nende eest said kõik maksimumpunktid,” tunnustas Kolk.|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Vajalik on sihipärane IKT oskuste õpetamine ja hindamine alates põhikoolist. |1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Üldistest oskustest ja hoiakutest on puudu teadmistest töö efektiivsemaks muutmise võimalustest, materjali efektiivsest kasutamisest, planeerimise oskusest ja ajajuhtimisest, suhtlemisoskusest, meeskonnatöö organiseerimisest ning tööohutusest ja töötervishoidust ning isikukaitsevahendite kasutamisest.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0
Töötoas saad teada, kuidas tunda ennast networkingu käigus enesekindlana ning leida sobivaid kontakte.|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
hooldus|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0
